Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
珠城大廈,百德新街22-36號,屋苑,48,564,7,$14337
駱克大廈,駱克道441號,屋苑,39,260,6,-
樂聲大廈,怡和街19-31號,屋苑,41,375,6,$17464
嘉薈軒,莊士敦道60號,單幢物業,11,381,6,$22609
修頓花園,柯布連道2號,單幢物業,30,480,6,$16459
熙華大廈,駱克道72-86號,屋苑,39,280,5,$16260
灣景中心大廈,港灣道28號,屋苑,39,936,5,$22517
百德大廈,百德新街37-47號,屋苑,58~59,301,5,-
伊利莎伯大廈,告士打道250-254號,屋苑,40,480,5,$14985
愛群閣,愛群道28號,單幢物業,38,147,5,-
杜智臺,謝斐道250-274號,屋苑,43,235,5,$16667
美漢大廈,謝斐道501-515號,單幢物業,52,248,5,$13077
李節花園,李節街1號,單幢物業,24,180,5,$16807
偉德大廈,駱克道414-430號,單幢物業,46,105,5,-
英京大廈,軒尼詩道192-198號,單幢物業,51,78,4,$13472
偉倫大樓,軒尼詩道78-84A號,單幢物業,51,82,4,-
廣生行大廈,灣仔道188號,屋苑,38~42,367,4,-
駿逸峰,日善街28號,單幢物業,11,104,4,-
嘉寧大廈,莊士敦道18號,單幢物業,53,155,4,-
京士頓大廈,京士頓街2-4號,屋苑,53,152,4,$13328
文安樓,灣仔道151-163號,屋苑,41,144,3,-
慧賢軒,堅彌地街8號,單幢物業,18,157,3,-
置安大廈,東角道24號,單幢物業,46,206,3,$14505
立興大廈,軒尼詩道275-285號,單幢物業,49,144,3,$15000
寶靈大廈,寶靈頓道2-16A號,單幢物業,40,116,3,$13667
高華大廈,駱克道285-295A號,單幢物業,54,104,3,-
利昌大廈,灣仔道218-220B號,單幢物業,44,88,3,$12146
尚匯,告士打道212號,單幢物業,6,177,3,-
匯星壹號,星街1號,單幢物業,17,171,3,$22466
萃峰,活道28號,單幢物業,7,130,3,-
YORK PLACE,莊士敦道22號,單幢物業,9,94,3,$26316
廣泰樓,汕頭街2-4號,單幢物業,30,84,3,-
明賢大廈,駱克道390-396A號,單幢物業,53,66,3,-
春園大廈,春園街29-41號,單幢物業,45,67,2,-
利來大廈,謝斐道208-214號,單幢物業,41,87,2,$19471
星月閣,星街2A-2G號,單幢物業,36,86,2,-
東基大廈,謝斐道158-172號,單幢物業,38,86,2,-
國泰大廈,銅鑼灣道7號,單幢物業,52,96,2,-
恆信大廈,謝斐道68-82號,單幢物業,33,105,2,-
樂景大樓,灣仔道149號,單幢物業,41,70,2,$11655
雙喜樓,莊士敦道112號,單幢物業,17,69,2,-
寶榮大樓,利園山道61-73號,單幢物業,51,68,2,$12000
仁英大廈,謝斐道215-225A號,單幢物業,41,74,2,-
冠景樓,堅拿道西10號,單幢物業,52,78,2,-
大觀樓,駱克道442-452號,單幢物業,55,71,2,-
麗都大廈,蘭杜街2號,單幢物業,39,131,2,$16387
城市大廈,告士打道144-149號,單幢物業,52,129,2,-
樂滿大廈,皇后大道東29-31號,單幢物業,30,162,2,-
友光大廈,軒尼詩道418-430號,單幢物業,48,90,2,-
永德大廈,灣仔道275號,屋苑,46,372,2,-
秀華園,秀華坊27-30號,屋苑,49,40,2,-
文熙大廈,莊士敦道2-12A號,屋苑,53,117,2,-
新基大樓,軒尼詩道38-46號,單幢物業,52,103,2,$13011
